"phylum","class","order","family","genus","species","acceptedScientificName","taxonomicStatus","iucnRedListCategory","decimalLatitude","decimalLongitude","issues"
"Chordata","Aves","Passeriformes","Fringillidae","Euphonia","Euphonia trinitatis","Euphonia trinitatis Strickland, 1851","ACCEPTED","LC",9.398791,-74.31626,"cdc"
"Chordata","Aves","Ciconiiformes","Ciconiidae","Mycteria","Mycteria americana","Mycteria americana Linnaeus, 1758","ACCEPTED","LC",9.398791,-74.31626,"cdc"
"Chordata","Aves","Passeriformes","Troglodytidae","Campylorhynchus","Campylorhynchus zonatus","Campylorhynchus zonatus (Lesson, 1832)","ACCEPTED","LC",9.320629,-74.57557,"cdc"
"Chordata","Aves","Passeriformes","Parulidae","Setophaga","Setophaga petechia","Setophaga petechia (Linnaeus, 1766)","ACCEPTED","LC",9.320629,-74.57557,"cdc"
"Chordata","Aves","Passeriformes","Thraupidae","Saltator","Saltator olivascens","Saltator olivascens Cabanis, 1849","ACCEPTED","LC",9.320629,-74.57557,"cdc"
"Chordata","Aves","Passeriformes","Icteridae","Icterus","Icterus galbula","Icterus galbula (Linnaeus, 1758)","ACCEPTED","LC",9.320629,-74.57557,"cdc"
"Chordata","Aves","Passeriformes","Tyrannidae","Megarynchus","Megarynchus pitangua","Megarynchus pitangua (Linnaeus, 1766)","ACCEPTED","LC",9.36023,-74.41737,"cdc,cdround"
"Chordata","Aves","Columbiformes","Columbidae","Leptotila","Leptotila verreauxi","Leptotila verreauxi Bonaparte, 1855","ACCEPTED","LC",9.36023,-74.41737,"cdc,cdround"
"Chordata","Aves","Passeriformes","Parulidae","Protonotaria","Protonotaria citrea","Protonotaria citrea (Boddaert, 1783)","ACCEPTED","LC",9.326684,-74.45075,"cdc"
"Chordata","Aves","Gruiformes","Rallidae","Porphyrio","Porphyrio martinica","Porphyrio martinica (Linnaeus, 1766)","ACCEPTED","LC",9.326684,-74.45075,"cdc"
"Chordata","Aves","Passeriformes","Icteridae","Quiscalus","Quiscalus lugubris","Quiscalus lugubris Swainson, 1838","ACCEPTED","LC",9.326684,-74.45075,"cdc"
"Chordata","Aves","Pelecaniformes","Threskiornithidae","Plegadis","Plegadis falcinellus","Plegadis falcinellus (Linnaeus, 1766)","ACCEPTED","LC",9.326684,-74.45075,"cdc"
"Chordata","Aves","Passeriformes","Thraupidae","Nemosia","Nemosia pileata","Nemosia pileata (Boddaert, 1783)","ACCEPTED","LC",9.398791,-74.31626,"cdc"
"Chordata","Aves","Psittaciformes","Psittacidae","Brotogeris","Brotogeris jugularis","Brotogeris jugularis (Statius Muller, 1776)","ACCEPTED","LC",9.398791,-74.31626,"cdc"
"Chordata","Aves","Psittaciformes","Psittacidae","Ara","Ara ararauna","Ara ararauna (Linnaeus, 1758)","ACCEPTED","LC",9.398791,-74.31626,"cdc"
"Chordata","Aves","Anseriformes","Anatidae","Cairina","Cairina moschata","Cairina moschata (Linnaeus, 1758)","ACCEPTED","LC",9.36023,-74.41737,"cdc,cdround"
"Chordata","Aves","Pelecaniformes","Threskiornithidae","Mesembrinibis","Mesembrinibis cayennensis","Mesembrinibis cayennensis (Gmelin, 1789)","ACCEPTED","LC",9.36023,-74.41737,"cdc,cdround"
"Chordata","Aves","Charadriiformes","Charadriidae","Vanellus","Vanellus chilensis","Vanellus chilensis (Molina, 1782)","ACCEPTED","LC",9.36023,-74.41737,"cdc,cdround"
"Chordata","Aves","Galliformes","Cracidae","Ortalis","Ortalis garrula","Ortalis garrula (Humboldt, 1805)","ACCEPTED","LC",9.010167,-74.08134,"cdc"
"Chordata","Aves","Pelecaniformes","Ardeidae","Egretta","Egretta thula","Egretta thula (Molina, 1782)","ACCEPTED","LC",9.010167,-74.08134,"cdc"
"Chordata","Aves","Trogoniformes","Trogonidae","Trogon","Trogon melanurus","Trogon melanurus Swainson, 1838","ACCEPTED","LC",9.010167,-74.08134,"cdc"
"Chordata","Aves","Passeriformes","Troglodytidae","Cantorchilus","Cantorchilus leucotis","Cantorchilus leucotis (Lafresnaye, 1845)","ACCEPTED","LC",9.010167,-74.08134,"cdc"
"Chordata","Aves","Psittaciformes","Psittacidae","Ara","Ara macao","Ara macao (Linnaeus, 1758)","ACCEPTED","LC",9.010167,-74.08134,"cdc"
"Chordata","Aves","Passeriformes","Thraupidae","Ramphocelus","Ramphocelus dimidiatus","Ramphocelus dimidiatus Lafresnaye, 1837","ACCEPTED","LC",9.010167,-74.08134,"cdc"
"Chordata","Aves","Passeriformes","Furnariidae","Certhiaxis","Certhiaxis cinnamomeus","Certhiaxis cinnamomeus (Gmelin, 1788)","ACCEPTED","LC",9.010167,-74.08134,"cdc"
"Chordata","Aves","Passeriformes","Troglodytidae","Troglodytes","Troglodytes aedon","Troglodytes aedon Vieillot, 1809","ACCEPTED","LC",9.010167,-74.08134,"cdc"
"Chordata","Aves","Gruiformes","Rallidae","Aramides","Aramides cajanea","Aramides cajanea (Statius Muller, 1776)","ACCEPTED","LC",9.010167,-74.08134,"cdc,txmatfuz"
"Chordata","Aves","Passeriformes","Tyrannidae","Myiozetetes","Myiozetetes similis","Myiozetetes similis (Spix, 1825)","ACCEPTED","LC",9.010167,-74.08134,"cdc"
"Chordata","Aves","Pelecaniformes","Ardeidae","Egretta","Egretta caerulea","Egretta caerulea (Linnaeus, 1758)","ACCEPTED","LC",9.010167,-74.08134,"cdc"
"Chordata","Aves","Falconiformes","Falconidae","Caracara","Caracara plancus","Caracara plancus (J.F.Miller, 1777)","ACCEPTED","LC",9.010167,-74.08134,"cdc"
"Chordata","Aves","Pelecaniformes","Ardeidae","Butorides","Butorides virescens","Butorides virescens (Linnaeus, 1758)","ACCEPTED","LC",9.010167,-74.08134,"cdc"
"Chordata","Aves","Passeriformes","Tyrannidae","Myiodynastes","Myiodynastes maculatus","Myiodynastes maculatus (Statius Muller, 1776)","ACCEPTED","LC",9.010167,-74.08134,"cdc"
"Chordata","Aves","Accipitriformes","Accipitridae","Busarellus","Busarellus nigricollis","Busarellus nigricollis (Latham, 1790)","ACCEPTED","LC",9.010167,-74.08134,"cdc"
"Chordata","Aves","Columbiformes","Columbidae","Patagioenas","Patagioenas cayennensis","Patagioenas cayennensis (Bonnaterre, 1792)","ACCEPTED","LC",9.010167,-74.08134,"cdc"
"Chordata","Aves","Cuculiformes","Cuculidae","Crotophaga","Crotophaga major","Crotophaga major Gmelin, 1788","ACCEPTED","LC",9.010167,-74.08134,"cdc"
"Chordata","Aves","Pelecaniformes","Ardeidae","Agamia","Agamia agami","Agamia agami (Gmelin, 1789)","ACCEPTED","VU",9.010167,-74.08134,"cdc"
